dxe5,2r2rk1/1b2bppp/pq2p3/3pn1PP/Pp1P4/1P6/N1PQBP2/1K1R3R w - - 0 20
Rhg1,2r2rk1/1b2bppp/pq2p3/4P1PP/Pp1p4/1P6/N1PQBP2/1K1R3R w - - 0 21
Bd3,2r2rk1/4bppp/pq2p3/4P1PP/Pp1pb3/1P6/N1PQBP2/1K1R2R1 w - - 2 22
Qxd3,2r2rk1/4bppp/pq2p3/4P1PP/Pp1p4/1P1b4/N1PQ1P2/1K1R2R1 w - - 0 23
f4,2rr2k1/4bppp/pq2p3/4P1PP/Pp1p4/1P1Q4/N1P2P2/1K1R2R1 w - - 1 24
Qe4,3r2k1/4bppp/pq2p3/4P1PP/Pp1p1P2/1PrQ4/N1P5/1K1R2R1 w - - 1 25
Qg2,3r2k1/4bppp/pq2p3/4P1PP/Pp1pQP2/1P2r3/N1P5/1K1R2R1 w - - 3 26
cxd3,3r2k1/4bppp/pq2p3/4P1PP/Pp3P2/1P1pr3/N1P3Q1/1K1R2R1 w - - 0 27
Qc2,3r2k1/4bppp/pq2p3/4P1PP/Pp3P2/1P1r4/N5Q1/1K1R2R1 w - - 0 28
Nc1,3r2k1/4bppp/p3p3/4P1PP/Pp3P2/1P1rq3/N1Q5/1K1R2R1 w - - 2 29
Bxf6,r4rk1/pppqb1pp/2np1B2/4pb2/8/2NP1N2/PPPQBPPP/R4RK1 b - - 0 10
Be7,r4rk1/pppq2pp/2np1b2/4pb2/4N3/3P1N2/PPPQBPPP/R4RK1 b - - 1 11
d5,r4rk1/pppqb1pp/2np4/4pb2/4N3/2PP1N2/PP1QBPPP/R4RK1 b - - 0 12
Bg6,r4rk1/pppqb1pp/2n5/3ppb2/8/2PP1NN1/PP1QBPPP/R4RK1 b - - 1 13
Bd6,r4rk1/pppqb1pp/2n3b1/3pp3/8/2PP1NN1/PP1QBPPP/R3R1K1 b - - 3 14
Bf7,r4rk1/pppq2pp/2nb2b1/3pp3/7N/2PP2N1/PP1QBPPP/R3R1K1 b - - 5 15
Be6,r4rk1/pppq1bpp/2nb4/3ppN2/8/2PP2N1/PP1QBPPP/R3R1K1 b - - 7 16
Qxd6,r4rk1/pppq2pp/2nNb3/3pp3/8/2PP2N1/PP1QBPPP/R3R1K1 b - - 0 17
Rae8,r4rk1/ppp3pp/2nqb3/3pp3/8/2PP2N1/PP2BPPP/R2QR1K1 b - - 1 18
Rf7,4rrk1/ppp3pp/2nqb3/3pp3/6B1/2PP2N1/PP3PPP/R2QR1K1 b - - 3 19
Qxe6,4r1k1/ppp2rpp/2nqB3/3pp3/8/2PP2N1/PP3PPP/R2QR1K1 b - - 0 20
Ref8,4r1k1/ppp2rpp/2n1q3/3pp3/8/2PP2N1/PP3PPP/R2Q1RK1 b - - 1 21
Qf6,5rk1/ppp2rpp/2n1q3/3pp3/8/2PP2N1/PP2QPPP/R4RK1 b - - 3 22
g6,5rk1/ppp2rpp/2n2q2/3pp3/8/2PP2N1/PP2QPPP/4RRK1 b - - 5 23
Re8,5rk1/ppp2r1p/2n2qp1/3pp3/1P6/2PP2N1/P3QPPP/4RRK1 b - - 0 24
h5,4r1k1/ppp2r1p/2n2qp1/3pp3/1P6/2PP1PN1/P3Q1PP/4RRK1 b - - 0 25
h4,4r1k1/ppp2r2/2n2qp1/3pp2p/1P1P4/2P2PN1/P3Q1PP/4RRK1 b - - 0 26
Rfe7,4r1k1/ppp2r2/2n2qp1/3pp3/1P1P3p/2P2P2/P3Q1PP/4RRKN b - - 1 27
Nxe5,4r1k1/ppp1r3/2n2qp1/3pP3/1P5p/2P2P2/P3Q1PP/4RRKN b - - 0 28
c6,4r1k1/ppp1r3/5qp1/3pn3/1P5p/2P2P2/P5PP/3QRRKN b - - 1 29
Kg8,rnbq1k1r/ppppb1p1/4pnNp/5p2/2PP1B2/2N1P3/PP3PPP/R2QKB1R b KQ - 3 10
Kxh8,rnbq2kN/ppppb1p1/4pn1p/5p2/2PP1B2/2N1P3/PP3PPP/R2QKB1R b KQ - 0 11
Qe8,rnbq3k/ppppb1p1/4pn1p/5p2/2PP4/2N1P1B1/PP3PPP/R2QKB1R b KQ - 1 12
g5,rnb1q2k/ppppb1p1/4pn1p/5p2/2PPP3/2N3B1/PP3PPP/R2QKB1R b KQ - 0 13
exf5,rnb1q2k/ppppb3/4pn1p/5Pp1/2PP4/2N3B1/PP3PPP/R2QKB1R b KQ - 0 14
Bd6,rnb1q2k/ppppb3/5n1p/4Bpp1/2PP4/2N5/PP3PPP/R2QKB1R b KQ - 1 15
Bxe5,rnb1q2k/pppp4/3b1n1p/4Bpp1/2PP4/2NB4/PP3PPP/R2QK2R b KQ - 3 16
Qxe5+,rnb1q2k/pppp4/5n1p/4Ppp1/2P5/2NB4/PP3PPP/R2QK2R b KQ - 0 17
Qe8,rnb4k/pppp4/5n1p/4qpp1/2P5/2NB4/PP2QPPP/R3K2R b KQ - 1 18
Nxe8,rnb1Q2k/pppp4/5n1p/5pp1/2P5/2NB4/PP3PPP/R3K2R b KQ - 0 19
Na6,rnb1n2k/pppp4/7p/5pp1/2P5/2NB4/PP1K1PPP/R6R b - - 1 20
c6,r1b1n2k/pppp4/n6p/5pp1/2P5/2NB4/PP1K1PPP/4R2R b - - 3 21
Kg7,r1b1R2k/pp1p4/n1p4p/5pp1/2P5/2NB4/PP1K1PPP/7R b - - 0 22
d6,r1b1R3/pp1p2k1/n1p4p/5pp1/2P5/2NB4/PP1K1PPP/4R3 b - - 2 23
Kf6,r1b1R3/pp4k1/n1pp3p/5Bp1/2P5/2N5/PP1K1PPP/4R3 b - - 0 24
Nc7,r1R5/pp6/n1pp1k1p/5Bp1/2P5/2N5/PP1K1PPP/4R3 b - - 0 25
Nxa8,R7/ppn5/2pp1k1p/5Bp1/2P5/2N5/PP1K1PPP/4R3 b - - 0 26
Kf7,n1B5/pp6/2pp1k1p/6p1/2P5/2N5/PP1K1PPP/4R3 b - - 1 27
Nc7,n7/pB3k2/2pp3p/6p1/2P5/2N5/PP1K1PPP/4R3 b - - 0 28
d5,8/p1n2k2/2Bp3p/6p1/2P5/2N5/PP1K1PPP/4R3 b - - 0 29
Nc6,rn1q1rk1/pp2ppbp/1n1p2p1/8/2PP2b1/1PN1BN2/P4PPP/2RQKB1R b K - 2 10
d5,r2q1rk1/pp2ppbp/1nnp2p1/8/2PP2b1/1PN1BN2/P3BPPP/2RQK2R b K - 4 11
Nc8,r2q1rk1/pp2ppbp/1nn3p1/2Pp4/3P2b1/1PN1BN2/P3BPPP/2RQK2R b K - 0 12
e6,r1nq1rk1/pp2ppbp/2n3p1/2Pp4/3P2b1/1PN1BN2/P3BPPP/2RQ1RK1 b - - 2 13
Bxf3,r1nq1rk1/pp3pbp/2n1p1p1/2Pp4/3P2b1/1PN1BN1P/P3BPP1/2RQ1RK1 b - - 0 14
N8e7,r1nq1rk1/pp3pbp/2n1p1p1/2Pp4/3P4/1PN1BB1P/P4PP1/2RQ1RK1 b - - 0 15
Nf5,r2q1rk1/pp2npbp/2n1p1p1/2Pp4/3P4/PPN1BB1P/5PP1/2RQ1RK1 b - - 0 16
Ncxd4,r2q1rk1/pp3pbp/2n1p1p1/2Pp1n2/3P4/PPN1BB1P/5PP1/2RQR1K1 b - - 2 17
Nxd4,r2q1rk1/pp3pbp/4p1p1/2Pp1n2/3B4/PPN2B1P/5PP1/2RQR1K1 b - - 0 18
Qh4,r2q1rk1/pp3pbp/4p1p1/2Pp4/1P1n4/P1N2B1P/5PP1/2RQR1K1 b - - 0 19
f5,r4rk1/pp3pbp/4p1p1/2Pp4/1P1n3q/P1N4P/4BPP1/2RQR1K1 b - - 2 20
Rfe8,r4rk1/pp4bp/4p1p1/2Pp1p2/1P1n3q/P1N4P/5PP1/2RQRBK1 b - - 1 21
Nxe2+,r3r1k1/pp4bp/4p1p1/2Pp1p2/1P1n3q/P6P/4NPP1/2RQRBK1 b - - 3 22
Rad8,r3r1k1/pp4bp/4p1p1/2Pp1p2/1P5q/P6P/4RPP1/2RQ1BK1 b - - 0 23
e5,3rr1k1/pp4bp/4p1p1/2Pp1p2/1P5q/P6P/4RPP1/2R1QBK1 b - - 2 24
Qf6,3rr1k1/pp4bp/6p1/2Pppp2/1P5q/P5PP/4RP2/2R1QBK1 b - - 0 25
e4,3rr1k1/pp4bp/5qp1/2Pppp2/1P6/P5PP/4RPB1/2R1Q1K1 b - - 2 26
d4,3rr1k1/pp4bp/5qp1/2Pp1p2/1P2p3/P5PP/4RPB1/3RQ1K1 b - - 1 27
d3,3rr1k1/pp4bp/5qp1/2P2p2/1P1pp3/P5PP/3R1PB1/3RQ1K1 b - - 1 28
